,,,,,,,,,,,,,,,,,,,,,,,,,,iShares California Muni Bond ETF
CALIFORNIA EDL FACS AUTH REV,Education,Fixed Income,"11,721,987.53",0.6,"11,721,987.53","7,260,000.00",130179SD7,US130179SD70,-,160.63,United States,-,USD,16.92,2.08,1.0,"May 01, 2049",5.0,17.56,-,2.08,17.56,2.08,USD,"Apr 04, 2019","Apr 04, 2019"
SAN DIEGO CALIF CMNTY COLLEGE,Prerefund/Escrow,Fixed Income,"10,953,454.87",0.56,"10,953,454.87","9,995,000.00",797272MY4,US797272MY40,-,107.51,United States,-,USD,1.51,0.25,1.0,"Aug 01, 2023",5.0,1.51,-,0.25,1.51,0.25,USD,"Jul 30, 2013","Jul 30, 2013"
FOOTHILL / EASTERN TRANSN CORR,Transportation,Fixed Income,"10,063,384.13",0.52,"10,063,384.13","8,500,000.00",345105JH4,US345105JH47,-,116.55,United States,-,USD,11.08,3.03,1.0,"Jan 15, 2046",4.0,15.22,-,1.99,7.6,1.99,USD,"Feb 09, 2021","Feb 09, 2021"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"9,905,155.93",0.51,"9,905,155.93","8,135,000.00",13063C6B1,US13063C6B19,-,119.68,United States,-,USD,4.63,1.82,1.0,"Aug 01, 2028",5.0,5.63,-,0.64,4.11,0.64,USD,"Mar 14, 2017","Mar 14, 2017"
UNIVERSITY CALIF REVS,Education,Fixed Income,"9,637,200.63",0.49,"9,637,200.63","7,390,000.00",91412HKT9,US91412HKT94,-,129.77,United States,-,USD,10.45,3.23,1.0,"May 15, 2046",5.0,14.58,-,1.57,7.75,1.57,USD,"Mar 10, 2021","Mar 10, 2021"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"9,437,745.60",0.48,"9,437,745.60","9,000,000.00",13063DQC5,US13063DQC55,-,103.61,United States,-,USD,0.74,0.18,1.0,"Oct 01, 2022",5.0,0.74,-,0.18,0.74,0.18,USD,"Sep 17, 2019","Sep 17, 2019"
CHINO BASIN CALIF REGL FING AU,Utility,Fixed Income,"9,382,091.99",0.48,"9,382,091.99","8,290,000.00",169498FR8,US169498FR89,-,112.51,United States,-,USD,3.43,0.69,1.0,"Nov 01, 2025",4.0,3.58,-,0.48,3.36,0.48,USD,"Jun 30, 2020","Jun 30, 2020"
SAN JOAQUIN HILLS CALIF TRANSN,Prerefund/Escrow,Fixed Income,"9,305,150.04",0.48,"9,305,150.04","8,000,000.00",798111GJ3,US798111GJ32,-,114.01,United States,-,USD,2.81,0.36,1.0,"Jan 15, 2025",5.0,2.81,-,0.36,2.81,0.36,USD,"Nov 06, 2014","Nov 06, 2014"
BAY AREA TOLL AUTH CALIF TOLL,Prerefund/Escrow,Fixed Income,"9,106,917.58",0.47,"9,106,917.58","8,150,000.00",072024TP7,US072024TP76,-,110.49,United States,-,USD,2.14,0.32,1.0,"Apr 01, 2024",5.0,2.14,-,0.32,2.14,0.32,USD,"Aug 05, 2014","Aug 05, 2014"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"8,757,587.20",0.45,"8,757,587.20","8,000,000.00",544525SF6,US544525SF63,-,106.97,United States,-,USD,2.44,4.02,1.0,"Jul 01, 2030",5.0,6.79,-,0.34,1.43,0.34,USD,"Dec 05, 2013","Dec 05, 2013"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"8,524,176.03",0.44,"8,524,176.03","7,000,000.00",13063DUD8,US13063DUD82,-,120.44,United States,-,USD,8.96,2.3,1.0,"Mar 01, 2036",4.0,11.03,-,1.35,7.04,1.35,USD,"Mar 19, 2020","Mar 19, 2020"
SAN JOSE CALIF,Local Tax-Backed,Fixed Income,"8,114,101.16",0.42,"8,114,101.16","6,075,000.00",798135L31,US798135L319,-,131.45,United States,-,USD,9.99,2.95,1.0,"Sep 01, 2042",5.0,13.74,-,1.34,7.55,1.34,USD,"Jul 29, 2021","Jul 29, 2021"
CALIFORNIA ST FOR PREVIOUS ISS,State Tax-Backed,Fixed Income,"7,878,610.40",0.4,"7,878,610.40","6,460,000.00",13063C5W6,US13063C5W64,-,119.88,United States,-,USD,4.12,0.6,1.0,"Aug 01, 2026",5.0,4.11,-,0.6,4.11,0.6,USD,"Mar 14, 2017","Mar 14, 2017"
CALIFORNIA EDL FACS AUTH REV,Education,Fixed Income,"7,826,728.88",0.4,"7,826,728.88","5,010,000.00",1301783W4,US1301783W46,-,155.39,United States,-,USD,15.31,2.01,1.0,"May 01, 2045",5.0,15.74,-,2.01,15.74,2.01,USD,"May 14, 2014","May 14, 2014"
NORTH ORANGE CNTY CALIF CMNTY,School Districts,Fixed Income,"7,726,907.28",0.4,"7,726,907.28","6,500,000.00",661334FT4,US661334FT40,-,117.21,United States,-,USD,10.01,2.95,1.0,"Aug 01, 2044",4.0,14.62,-,1.58,6.56,1.58,USD,"Jun 25, 2019","Jun 25, 2019"
LOS ANGELES CNTY CALIF MET TRA,Local Tax-Backed,Fixed Income,"7,668,732.44",0.39,"7,668,732.44","5,625,000.00",54466HKU9,US54466HKU94,-,132.97,United States,-,USD,9.81,2.72,1.0,"Jul 01, 2040",5.0,12.69,-,1.3,7.72,1.3,USD,"Apr 29, 2021","Apr 29, 2021"
CONTRA COSTA CALIF WTR DIST WT,Utility,Fixed Income,"7,611,994.00",0.39,"7,611,994.00","5,775,000.00",212218UY5,US212218UY54,-,130.56,United States,-,USD,10.99,3.37,1.0,"Oct 01, 2051",5.0,16.48,-,1.6,7.97,1.6,USD,"Aug 18, 2021","Aug 18, 2021"
ORANGE CNTY CALIF WTR DIST REV,Utility,Fixed Income,"7,497,318.68",0.39,"7,497,318.68","7,300,000.00",684421FB1,US684421FB12,-,101.95,United States,-,USD,1.24,0.79,1.0,"Aug 15, 2023",2.0,1.59,-,0.26,1.11,0.26,USD,"Jun 27, 2019","Jun 27, 2019"
LOS ANGELES CALIF UNI SCH DIST,School Districts,Fixed Income,"7,487,730.04",0.38,"7,487,730.04","6,225,000.00",544647BX7,US544647BX71,-,118.28,United States,-,USD,10.56,2.89,1.0,"Jul 01, 2044",4.0,14.56,-,1.68,7.22,1.68,USD,"Apr 30, 2020","Apr 30, 2020"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"7,008,685.37",0.36,"7,008,685.37","6,550,000.00",13063DFX1,US13063DFX12,-,105.75,United States,-,USD,2.09,4.12,1.0,"Oct 01, 2029",5.0,6.35,-,0.38,1.21,0.38,USD,"Mar 15, 2018","Mar 15, 2018"
SACRAMENTO CALIF MUN UTIL DIST,Utility,Fixed Income,"6,493,821.36",0.33,"6,493,821.36","5,375,000.00",786005C89,US786005C895,-,119.3,United States,-,USD,10.73,2.87,1.0,"Aug 15, 2045",4.0,14.95,-,1.59,7.35,1.59,USD,"May 07, 2020","May 07, 2020"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"6,390,323.06",0.33,"6,390,323.06","5,000,000.00",13063DM47,US13063DM473,-,127.2,United States,-,USD,5.88,0.85,1.0,"Oct 01, 2028",5.0,5.88,-,0.85,5.88,0.85,USD,"Nov 17, 2021","Nov 17, 2021"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"6,349,324.15",0.33,"6,349,324.15","4,865,000.00",544532AM6,US544532AM65,-,128.01,United States,-,USD,8.16,2.77,1.0,"Jul 01, 2037",5.0,11.19,-,1.1,6.35,1.1,USD,"Dec 23, 2019","Dec 23, 2019"
FREMONT CALIF UN HIGH SCH DIST,School Districts,Fixed Income,"6,347,083.75",0.33,"6,347,083.75","5,405,000.00",357172ZW8,US357172ZW82,-,115.76,United States,-,USD,8.87,3.08,1.0,"Aug 01, 2046",4.0,15.22,-,1.08,5.0,1.08,USD,"Jun 06, 2019","Jun 06, 2019"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"6,314,795.17",0.32,"6,314,795.17","5,000,000.00",13063DSQ2,US13063DSQ24,-,125.46,United States,-,USD,8.36,3.13,1.0,"Nov 01, 2039",5.0,12.42,-,1.12,5.92,1.12,USD,"Nov 20, 2019","Nov 20, 2019"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"6,186,036.15",0.32,"6,186,036.15","4,980,000.00",13063DBU1,US13063DBU19,-,123.38,United States,-,USD,5.71,1.79,1.0,"Nov 01, 2029",5.0,6.62,-,0.88,5.16,0.88,USD,"Sep 12, 2017","Sep 12, 2017"
CALIFORNIA ST,State Tax-Backed,Fixed Income,"6,154,522.58",0.32,"6,154,522.58","5,170,000.00",13063DPV4,US13063DPV46,-,118.04,United States,-,USD,10.43,2.91,1.0,"Oct 01, 2044",4.0,15.46,-,1.52,6.73,1.52,USD,"Sep 17, 2019","Sep 17, 2019"
LOS ANGELES CALIF DEPT WTR & P,Utility,Fixed Income,"5,951,416.50",0.31,"5,951,416.50","5,000,000.00",544525UH9,US544525UH91,-,116.53,United States,-,USD,6.63,3.94,1.0,"Jul 01, 2046",5.0,13.93,-,0.79,3.61,0.79,USD,"Apr 21, 2016","Apr 21, 2016"
