,,,,,,,,,,,,,,,,,,,,,,,,,,iShares U.S. Fixed Income Balanced Risk Factor ETF
BLACKROCK CASH CL INST SL AGENCY,Cash and/or Derivatives,Money Market,"15,008,177.68",13.09,"15,008,177.68","15,003,677.00",066922519,US0669225197,BKGRT85,1.0,United States,-,USD,0.09,0.16,1.0,-,0.1,0.16,-,0.16,0.15,0.16,USD,-,"Feb 04, 2009"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"11,235,857.52",9.8,"11,235,857.52","11,257,329.00",01F020612,US01F0206122,-,99.74,United States,-,USD,6.71,2.03,1.0,"Jan 13, 2022",2.0,6.82,-,2.03,6.82,2.03,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"6,858,343.97",5.98,"6,858,343.97","6,712,000.00",01F022618,US01F0226187,-,102.1,United States,-,USD,5.41,2.12,1.0,"Jan 13, 2022",2.5,5.82,-,2.12,5.82,2.12,USD,"Jan 01, 2022","Jan 01, 2022"
GNMA2 30YR TBA(REG C),MBS Pass-Through,Fixed Income,"4,825,593.78",4.21,"4,825,593.78","4,775,000.00",21H020618,US21H0206183,-,100.95,United States,-,USD,5.86,1.83,1.0,"Jan 20, 2022",2.0,6.01,-,1.83,6.01,1.83,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 15YR TBA(REG B),MBS Pass-Through,Fixed Income,"3,547,553.38",3.09,"3,547,553.38","3,460,000.00",01F020414,US01F0204143,-,102.44,United States,-,USD,4.26,1.42,1.0,"Jan 18, 2022",2.0,4.35,-,1.42,4.35,1.42,USD,"Jan 01, 2022","Jan 01, 2022"
GNMA2 30YR TBA(REG C),MBS Pass-Through,Fixed Income,"3,452,824.63",3.01,"3,452,824.63","3,365,000.00",21H022614,US21H0226140,-,102.48,United States,-,USD,4.51,1.97,1.0,"Jan 20, 2022",2.5,4.78,-,1.97,4.78,1.97,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 15YR TBA(REG B),MBS Pass-Through,Fixed Income,"2,886,092.71",2.52,"2,886,092.71","2,875,000.00",01F012411,US01F0124119,-,100.32,United States,-,USD,4.66,1.41,1.0,"Jan 18, 2022",1.5,4.38,-,1.41,4.38,1.41,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"2,565,117.85",2.24,"2,565,117.85","2,650,000.00",01F012619,US01F0126197,-,96.75,United States,-,USD,7.55,1.93,1.0,"Jan 13, 2022",1.5,7.4,-,1.93,7.4,1.93,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"2,529,760.00",2.21,"2,529,760.00","2,400,000.00",01F032617,US01F0326177,-,105.29,United States,-,USD,3.04,1.92,1.0,"Jan 13, 2022",3.5,3.48,-,1.92,3.48,1.92,USD,"Jan 01, 2022","Jan 01, 2022"
FHLMC 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"2,156,206.60",1.88,"2,156,206.60","2,156,379.00",3132DWBP7,US3132DWBP77,-,99.83,United States,-,USD,6.49,2.01,1.0,"May 01, 2051",2.0,6.57,-,2.01,6.57,2.01,USD,"Apr 01, 2021","Apr 01, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"1,845,288.69",1.61,"1,845,288.69","1,741,766.00",3133A4L20,US3133A4L200,-,105.69,United States,-,USD,5.42,2.18,1.0,"May 01, 2050",3.0,7.0,-,2.18,7.0,2.18,USD,"May 01, 2020","May 01, 2020"
GNMA II 30YR SF - JUMBO-CONFORMING,MBS Pass-Through,Fixed Income,"1,673,585.76",1.46,"1,673,585.76","1,605,702.00",36179VQT0,US36179VQT07,-,103.98,United States,-,USD,3.34,2.03,1.0,"Jul 20, 2050",3.0,4.19,-,2.03,4.19,2.03,USD,"Jul 01, 2020","Jul 01, 2020"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"1,377,441.63",1.2,"1,377,441.63","1,283,000.00",01F042616,US01F0426167,-,107.21,United States,-,USD,2.55,2.2,1.0,"Jan 13, 2022",4.5,3.26,-,2.2,3.26,2.2,USD,"Jan 01, 2022","Jan 01, 2022"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"1,311,825.69",1.14,"1,311,825.69","1,247,405.00",36179RS83,US36179RS832,-,104.91,United States,-,USD,3.34,1.9,1.0,"Nov 20, 2045",3.0,4.53,-,1.9,4.53,1.9,USD,"Nov 01, 2015","Nov 01, 2015"
FNMA 30YR,MBS Pass-Through,Fixed Income,"1,159,993.29",1.01,"1,159,993.29","1,067,738.00",3140Q9CT8,US3140Q9CT81,-,108.31,United States,-,USD,2.87,2.2,1.0,"Jun 01, 2048",4.0,4.71,-,2.2,4.71,2.2,USD,"May 01, 2018","May 01, 2018"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"1,137,032.15",0.99,"1,137,032.15","1,111,355.00",3140QFMX4,US3140QFMX47,-,102.1,United States,-,USD,4.74,2.02,1.0,"Nov 01, 2050",2.5,4.62,-,2.02,4.62,2.02,USD,"Oct 01, 2020","Oct 01, 2020"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"1,105,386.00",0.96,"1,105,386.00","1,056,440.00",3140X8TY3,US3140X8TY33,-,104.38,United States,-,USD,3.57,2.02,1.0,"Oct 01, 2050",3.0,4.59,-,2.02,4.59,2.02,USD,"Nov 01, 2020","Nov 01, 2020"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"1,042,013.36",0.91,"1,042,013.36","978,000.00",01F040610,US01F0406102,-,106.41,United States,-,USD,2.87,2.08,1.0,"Jan 13, 2022",4.0,3.47,-,2.08,3.47,2.08,USD,"Jan 01, 2022","Jan 01, 2022"
FNMA 40YR MODIFIED STEP RATE,MBS Pass-Through,Fixed Income,"1,002,050.46",0.87,"1,002,050.46","933,620.00",3140FXGJ5,US3140FXGJ51,-,107.04,United States,-,USD,4.05,2.02,1.0,"Nov 01, 2051",3.5,4.85,-,2.02,4.85,2.02,USD,"Jan 01, 2018","Jan 01, 2018"
FHLMC 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"984,016.61",0.86,"984,016.61","984,095.00",3132DWBH5,US3132DWBH51,-,99.83,United States,-,USD,6.49,2.01,1.0,"Apr 01, 2051",2.0,6.57,-,2.01,6.57,2.01,USD,"Mar 01, 2021","Mar 01, 2021"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"851,251.49",0.74,"851,251.49","814,512.00",36179VSJ0,US36179VSJ07,-,104.22,United States,-,USD,3.52,2.34,1.0,"Aug 20, 2050",3.5,3.73,-,2.34,3.73,2.34,USD,"Aug 01, 2020","Aug 01, 2020"
GNMA2 30YR TBA(REG C),MBS Pass-Through,Fixed Income,"813,913.56",0.71,"813,913.56","760,000.00",21H050615,US21H0506152,-,106.83,United States,-,USD,2.16,2.39,1.0,"Jan 20, 2022",5.0,2.73,-,2.39,2.73,2.39,USD,"Jan 01, 2022","Jan 01, 2022"
FHLMC 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"797,210.58",0.7,"797,210.58","774,984.00",3132DVLK9,US3132DVLK97,-,102.66,United States,-,USD,5.47,2.0,1.0,"Nov 01, 2050",2.5,5.53,-,2.0,5.53,2.0,USD,"Nov 01, 2020","Nov 01, 2020"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"746,559.02",0.65,"746,559.02","729,700.00",3140QFMW6,US3140QFMW63,-,102.1,United States,-,USD,4.74,2.02,1.0,"Oct 01, 2050",2.5,4.62,-,2.02,4.62,2.02,USD,"Oct 01, 2020","Oct 01, 2020"
GNMA2 30YR PLATINUM,MBS Pass-Through,Fixed Income,"738,284.11",0.64,"738,284.11","706,274.00",3622AAP40,US3622AAP407,-,104.28,United States,-,USD,3.34,2.0,1.0,"Apr 20, 2049",3.0,4.37,-,2.0,4.37,2.0,USD,"Jun 01, 2020","Jun 01, 2020"
FHLMC 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"661,516.35",0.58,"661,516.35","631,658.00",3132D6NW6,US3132D6NW65,-,104.52,United States,-,USD,3.77,1.32,1.0,"Oct 01, 2035",2.5,3.92,-,1.32,3.92,1.32,USD,"Sep 01, 2020","Sep 01, 2020"
GNMA2 30YR PLATINUM,MBS Pass-Through,Fixed Income,"660,816.49",0.58,"660,816.49","617,218.00",3622A26S6,US3622A26S67,-,106.77,United States,-,USD,4.16,2.1,1.0,"Apr 20, 2048",3.5,4.9,-,2.1,4.9,2.1,USD,"May 01, 2018","May 01, 2018"
FNMA 30YR UMBS,MBS Pass-Through,Fixed Income,"645,250.62",0.56,"645,250.62","597,002.00",3140QDFR0,US3140QDFR04,-,107.75,United States,-,USD,1.78,1.52,1.0,"Apr 01, 2050",4.0,3.26,-,1.52,3.26,1.52,USD,"Mar 01, 2020","Mar 01, 2020"
UMBS 15YR TBA(REG B),MBS Pass-Through,Fixed Income,"633,445.08",0.55,"633,445.08","605,000.00",01F030413,US01F0304133,-,104.56,United States,-,USD,2.65,1.44,1.0,"Jan 18, 2022",3.0,3.0,-,1.44,3.0,1.44,USD,"Jan 01, 2022","Jan 01, 2022"
MARSH & MCLENNAN COMPANIES INC,Financial Institutions,Fixed Income,"592,496.55",0.52,"592,496.55","540,000.00",571748AZ5,US571748AZ55,BYMYNL9,108.61,United States,-,USD,3.71,1.62,1.0,"Mar 14, 2026",3.75,3.87,-,1.5,3.65,1.5,USD,"Sep 14, 2015","Sep 14, 2015"
UMBS 30YR TBA(REG A),MBS Pass-Through,Fixed Income,"579,631.44",0.51,"579,631.44","525,000.00",01F052615,US01F0526156,-,110.22,United States,-,USD,2.85,2.64,1.0,"Jan 13, 2022",5.5,3.61,-,2.64,3.61,2.64,USD,"Jan 01, 2022","Jan 01, 2022"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"573,920.87",0.5,"573,920.87","560,619.00",3140X7VZ9,US3140X7VZ96,-,102.16,United States,-,USD,5.41,2.06,1.0,"Sep 01, 2050",2.5,5.21,-,2.06,5.21,2.06,USD,"Aug 01, 2020","Aug 01, 2020"
CITIGROUP INC,Financial Institutions,Fixed Income,"527,357.07",0.46,"527,357.07","530,000.00",172967MT5,US172967MT50,-,99.37,United States,-,USD,1.81,1.0,1.0,"Oct 30, 2024",0.78,1.81,-,1.0,1.73,1.0,USD,"Oct 30, 2020","Oct 30, 2020"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"515,740.33",0.45,"515,740.33","489,744.00",3140X4QW9,US3140X4QW99,-,105.06,United States,-,USD,3.74,1.88,1.0,"Nov 01, 2046",3.0,4.63,-,1.88,4.63,1.88,USD,"Aug 01, 2019","Aug 01, 2019"
GNMA2 30YR,MBS Pass-Through,Fixed Income,"495,380.96",0.43,"495,380.96","473,341.00",36179VDP2,US36179VDP22,-,104.36,United States,-,USD,3.39,2.25,1.0,"Jan 20, 2050",3.5,3.61,-,2.25,3.61,2.25,USD,"Jan 01, 2020","Jan 01, 2020"
FHLMC 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"491,052.03",0.43,"491,052.03","478,291.00",3132D6NX4,US3132D6NX49,-,102.5,United States,-,USD,3.64,1.33,1.0,"Feb 01, 2036",2.0,3.89,-,1.33,3.89,1.33,USD,"Jan 01, 2021","Jan 01, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"482,996.84",0.42,"482,996.84","483,035.00",3133KLEZ6,US3133KLEZ67,-,99.83,United States,-,USD,6.49,2.01,1.0,"Feb 01, 2051",2.0,6.57,-,2.01,6.57,2.01,USD,"Feb 01, 2021","Feb 01, 2021"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"468,390.47",0.41,"468,390.47","457,534.00",3140X7VU0,US3140X7VU00,-,102.16,United States,-,USD,5.41,2.06,1.0,"Sep 01, 2050",2.5,5.21,-,2.06,5.21,2.06,USD,"Aug 01, 2020","Aug 01, 2020"
UMBS 15YR TBA(REG B),MBS Pass-Through,Fixed Income,"463,007.32",0.4,"463,007.32","447,000.00",01F022410,US01F0224109,-,103.46,United States,-,USD,2.85,1.42,1.0,"Jan 18, 2022",2.5,3.33,-,1.42,3.33,1.42,USD,"Jan 01, 2022","Jan 01, 2022"
FHLMC 15YR UMBS SUPER,MBS Pass-Through,Fixed Income,"456,724.47",0.4,"456,724.47","435,408.00",3132D6NR7,US3132D6NR70,-,104.69,United States,-,USD,3.87,1.29,1.0,"Jul 01, 2035",2.5,3.96,-,1.29,3.96,1.29,USD,"Jun 01, 2020","Jun 01, 2020"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"441,637.81",0.39,"441,637.81","441,673.00",3133KLHN0,US3133KLHN01,-,99.83,United States,-,USD,6.49,2.01,1.0,"Mar 01, 2051",2.0,6.57,-,2.01,6.57,2.01,USD,"Feb 01, 2021","Feb 01, 2021"
FHLMC 30YR UMBS,MBS Pass-Through,Fixed Income,"432,959.82",0.38,"432,959.82","411,135.00",31334YPW1,US31334YPW11,-,105.06,United States,-,USD,3.74,1.89,1.0,"Jul 01, 2046",3.0,4.67,-,1.89,4.67,1.89,USD,"Aug 01, 2019","Aug 01, 2019"
FNMA 30YR UMBS SUPER,MBS Pass-Through,Fixed Income,"425,687.22",0.37,"425,687.22","415,542.00",3140XAJP8,US3140XAJP89,-,102.23,United States,-,USD,5.45,2.09,1.0,"Mar 01, 2051",2.5,5.66,-,2.09,5.66,2.09,USD,"Mar 01, 2021","Mar 01, 2021"
