,,,,,,,,,,,,,,,,,,,,,,,,,,iShares USD Bond Factor ETF
BLACKROCK CASH CL INST SL AGENCY,Cash and/or Derivatives,Money Market,"5,126,332.38",25.69,"5,126,332.38","5,124,795.00",066922519,US0669225197,BKGRT85,1.0,United States,-,USD,0.09,0.16,1.0,-,0.1,0.16,-,0.16,0.15,0.16,USD,-,"Feb 04, 2009"
UMBS 30YR TBA(REG A),Securitized,Fixed Income,"847,380.67",4.25,"847,380.67","849,000.00",01F020612,US01F0206122,-,99.74,United States,-,USD,6.71,2.03,1.0,"Jan 13, 2022",2.0,6.82,-,2.03,6.82,2.03,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),Securitized,Fixed Income,"817,442.67",4.1,"817,442.67","800,000.00",01F022618,US01F0226187,-,102.1,United States,-,USD,5.41,2.12,1.0,"Jan 13, 2022",2.5,5.82,-,2.12,5.82,2.12,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),Securitized,Fixed Income,"492,679.50",2.47,"492,679.50","475,000.00",01F030611,US01F0306112,-,103.62,United States,-,USD,3.74,2.04,1.0,"Jan 13, 2022",3.0,3.93,-,2.04,3.93,2.04,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),Securitized,Fixed Income,"395,275.00",1.98,"395,275.00","375,000.00",01F032617,US01F0326177,-,105.29,United States,-,USD,3.04,1.92,1.0,"Jan 13, 2022",3.5,3.48,-,1.92,3.48,1.92,USD,"Jan 01, 2022","Jan 01, 2022"
UMBS 30YR TBA(REG A),Securitized,Fixed Income,"372,908.67",1.87,"372,908.67","350,000.00",01F040610,US01F0406102,-,106.41,United States,-,USD,2.87,2.08,1.0,"Jan 13, 2022",4.0,3.47,-,2.08,3.47,2.08,USD,"Jan 01, 2022","Jan 01, 2022"
FHLMC 30YR UMBS,Securitized,Fixed Income,"337,717.46",1.69,"337,717.46","337,261.00",-,-,-,99.97,United States,-,USD,6.17,1.99,1.0,"Aug 01, 2050",2.0,6.18,-,1.99,6.18,1.99,USD,"Aug 01, 2020","Aug 01, 2020"
TREASURY BOND,Treasury,Fixed Income,"324,948.41",1.63,"324,948.41","325,000.00",912810SW9,US912810SW99,BN303J7,99.28,United States,-,USD,15.81,1.92,1.0,"Feb 15, 2041",1.88,15.88,-,1.92,15.88,1.92,USD,"Feb 15, 2021","Mar 01, 2021"
GNMA2 30YR TBA(REG C),Securitized,Fixed Income,"282,177.35",1.41,"282,177.35","275,000.00",21H022614,US21H0226140,-,102.48,United States,-,USD,4.51,1.97,1.0,"Jan 20, 2022",2.5,4.78,-,1.97,4.78,1.97,USD,"Jan 01, 2022","Jan 01, 2022"
GNMA2 30YR TBA(REG C),Securitized,Fixed Income,"259,155.83",1.3,"259,155.83","250,000.00",21H030617,US21H0306173,-,103.5,United States,-,USD,3.34,2.06,1.0,"Jan 20, 2022",3.0,3.86,-,2.06,3.86,2.06,USD,"Jan 01, 2022","Jan 01, 2022"
