iShares® iBonds® Dec 2023 Term Muni Bond ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"Apr 11, 2017"
Shares Outstanding,"13,400,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"MASSACHUSETTS ST SCH BLDG AUTH","Prerefund/Escrow","Fixed Income","455,350.18","0.13","455,350.18","425,000.00","576000PN7","US576000PN70","-","106.50","United States","-","USD","1.33","0.25","1.00","May 15, 2023","5.00","1.34","-","0.25","1.34","0.25","USD","Jul 02, 2013","Jul 02, 2013"
"GRAND RIVER DAM AUTH OKLA REV","Utility","Fixed Income","454,866.61","0.13","454,866.61","425,000.00","386442VF1","US386442VF15","-","106.61","United States","-","USD","1.38","0.32","1.00","Jun 01, 2023","5.00","1.38","-","0.32","1.38","0.32","USD","Oct 23, 2014","Oct 23, 2014"
"VIRGINIA ST PUB BLDG AUTH PUB","State Tax-Backed","Fixed Income","454,658.87","0.13","454,658.87","415,000.00","928172E35","US928172E351","-","107.47","United States","-","USD","1.51","0.27","1.00","Aug 01, 2023","5.00","1.51","-","0.27","1.51","0.27","USD","Sep 17, 2014","Sep 17, 2014"
"CALIFORNIA ST DEPT WTR RES CEN","Utility","Fixed Income","454,032.35","0.13","454,032.35","415,000.00","13067WNN8","US13067WNN82","-","108.99","United States","-","USD","1.85","0.29","1.00","Dec 01, 2023","5.00","1.85","-","0.29","1.85","0.29","USD","Dec 19, 2017","Dec 19, 2017"
"HARRIS CNTY TEX MET TRAN AUTH","Local Tax-Backed","Fixed Income","453,819.24","0.13","453,819.24","415,000.00","41422EHD8","US41422EHD85","-","108.52","United States","-","USD","1.76","0.33","1.00","Nov 01, 2023","5.00","1.76","-","0.33","1.76","0.33","USD","Nov 08, 2017","Nov 08, 2017"
"NORTH TEX MUN WTR DIST TEX WTR","Utility","Fixed Income","448,589.35","0.13","448,589.35","410,000.00","662903NQ2","US662903NQ26","-","107.75","United States","-","USD","1.60","0.34","1.00","Sep 01, 2023","5.00","1.60","-","0.34","1.60","0.34","USD","Jul 31, 2014","Jun 15, 2014"
"CALIFORNIA ST","State Tax-Backed","Fixed Income","448,587.61","0.13","448,587.61","410,000.00","13063DBJ6","US13063DBJ63","-","108.58","United States","-","USD","1.77","0.30","1.00","Nov 01, 2023","5.00","1.76","-","0.30","1.76","0.30","USD","Sep 12, 2017","Sep 12, 2017"
"MISSOURI ST ENVIRONMENTAL IMPT","Utility","Fixed Income","443,857.52","0.13","443,857.52","405,000.00","60636UCW7","US60636UCW71","-","107.09","United States","-","USD","1.43","0.26","1.00","Jul 01, 2023","5.00","1.43","-","0.26","1.43","0.26","USD","Dec 22, 2015","Dec 22, 2015"
"TARRANT REGL WTR DIST TEX WTR","Utility","Fixed Income","439,630.19","0.13","439,630.19","410,000.00","876443LE0","US876443LE09","-","105.56","United States","-","USD","1.13","0.23","1.00","Mar 01, 2023","5.00","1.13","-","0.23","1.13","0.23","USD","Mar 03, 2015","Feb 01, 2015"
"DISTRICT COLUMBIA","State Tax-Backed","Fixed Income","439,234.13","0.13","439,234.13","410,000.00","25476FRZ3","US25476FRZ35","-","106.71","United States","-","USD","1.38","0.25","1.00","Jun 01, 2023","5.00","1.38","-","0.25","1.38","0.25","USD","Jun 23, 2016","Jun 23, 2016"
"RHODE ISLAND ST & PROVIDENCE P","State Tax-Backed","Fixed Income","438,159.45","0.13","438,159.45","400,000.00","76222RRQ7","US76222RRQ73","-","107.46","United States","-","USD","1.51","0.28","1.00","Aug 01, 2023","5.00","1.51","-","0.28","1.51","0.28","USD","Nov 05, 2014","Nov 05, 2014"
"LOS ANGELES CALIF MUN IMPT COR","Local Tax-Backed","Fixed Income","437,876.93","0.13","437,876.93","400,000.00","544587F94","US544587F948","-","108.64","United States","-","USD","1.77","0.27","1.00","Nov 01, 2023","5.00","1.76","-","0.27","1.76","0.27","USD","Jun 01, 2016","Jun 01, 2016"
"ALABAMA ST","State Tax-Backed","Fixed Income","437,569.65","0.13","437,569.65","400,000.00","010411AR7","US010411AR76","-","108.56","United States","-","USD","1.77","0.31","1.00","Nov 01, 2023","5.00","1.76","-","0.31","1.76","0.31","USD","Mar 08, 2016","Mar 08, 2016"
"METROPOLITAN TRANSN AUTH N Y R","Transportation","Fixed Income","435,880.00","0.13","435,880.00","400,000.00","59259YF87","US59259YF878","-","108.33","United States","-","USD","1.80","0.52","1.00","Nov 15, 2023","5.00","1.80","-","0.52","1.80","0.52","USD","Jul 11, 2013","Jul 11, 2013"
"DELAWARE ST","State Tax-Backed","Fixed Income","434,474.86","0.13","434,474.86","405,000.00","246381NA1","US246381NA19","-","105.19","United States","-","USD","1.05","0.20","1.00","Feb 01, 2023","5.00","1.05","-","0.20","1.05","0.20","USD","Feb 26, 2019","Feb 26, 2019"
"OHIO ST TPK COMMN TPK REV","Transportation","Fixed Income","434,328.15","0.13","434,328.15","405,000.00","67760HLA7","US67760HLA76","-","105.35","United States","-","USD","1.09","0.22","1.00","Feb 15, 2023","5.00","1.09","-","0.22","1.09","0.22","USD","Sep 28, 2017","Sep 28, 2017"
"LOS ANGELES CALIF CMNTY COLLEG","School Districts","Fixed Income","432,812.77","0.12","432,812.77","395,000.00","54438CSX1","US54438CSX10","-","107.49","United States","-","USD","1.51","0.26","1.00","Aug 01, 2023","5.00","1.51","-","0.26","1.51","0.26","USD","Jan 08, 2015","Jan 08, 2015"
"CALIFORNIA ST FOR PREVIOUS ISS","State Tax-Backed","Fixed Income","432,682.46","0.12","432,682.46","395,000.00","13063C5A4","US13063C5A45","-","107.46","United States","-","USD","1.51","0.28","1.00","Aug 01, 2023","5.00","1.51","-","0.28","1.51","0.28","USD","Mar 14, 2017","Mar 14, 2017"
"MAINE MUN BD BK TRANSN INFRAST","State Tax-Backed","Fixed Income","432,452.19","0.12","432,452.19","395,000.00","56045PDE0","US56045PDE07","-","107.81","United States","-","USD","1.60","0.30","1.00","Sep 01, 2023","5.00","1.60","-","0.30","1.60","0.30","USD","Oct 22, 2015","Oct 22, 2015"
"OHIO ST UNIV GEN RCPTS","Education","Fixed Income","431,754.34","0.12","431,754.34","395,000.00","677632J85","US677632J851","-","108.89","United States","-","USD","1.85","0.34","1.00","Dec 01, 2023","5.00","1.85","-","0.34","1.85","0.34","USD","Jun 25, 2020","Jun 25, 2020"
"NEVADA ST HWY IMPT REV","State Tax-Backed","Fixed Income","431,674.99","0.12","431,674.99","395,000.00","641480HV3","US641480HV30","-","108.87","United States","-","USD","1.85","0.35","1.00","Dec 01, 2023","5.00","1.84","-","0.35","1.84","0.35","USD","Mar 09, 2016","Mar 09, 2016"
"WISCONSIN ST GEN FD ANNUAL APP","State Tax-Backed","Fixed Income","428,657.17","0.12","428,657.17","400,000.00","977100GL4","US977100GL49","-","106.33","United States","-","USD","1.30","0.24","1.00","May 01, 2023","5.00","1.30","-","0.24","1.30","0.24","USD","Jan 31, 2019","Jan 31, 2019"
"LOS ANGELES CNTY CALIF MET TRA","Local Tax-Backed","Fixed Income","428,638.79","0.12","428,638.79","400,000.00","54466HJE7","US54466HJE71","-","106.74","United States","-","USD","1.38","0.23","1.00","Jun 01, 2023","5.00","1.38","-","0.23","1.38","0.23","USD","Aug 27, 2020","Aug 27, 2020"
"MIAMI-DADE CNTY FLA","Local Tax-Backed","Fixed Income","427,418.35","0.12","427,418.35","390,000.00","59333FSF8","US59333FSF89","-","107.09","United States","-","USD","1.43","0.26","1.00","Jul 01, 2023","5.00","1.43","-","0.26","1.43","0.26","USD","May 11, 2016","May 11, 2016"
"KLEIN TX INDEP SCH DIST","School Districts","Fixed Income","427,334.13","0.12","427,334.13","390,000.00","498531FE7","US498531FE78","-","107.49","United States","-","USD","1.51","0.26","1.00","Aug 01, 2023","5.00","1.51","-","0.26","1.51","0.26","USD","Jul 01, 2015","Jul 01, 2015"
"VIRGINIA ST PUB SCH AUTH SCH F","School Districts","Fixed Income","427,012.61","0.12","427,012.61","390,000.00","92818HBF7","US92818HBF73","-","107.41","United States","-","USD","1.51","0.31","1.00","Aug 01, 2023","5.00","1.51","-","0.31","1.51","0.31","USD","Feb 17, 2015","Feb 17, 2015"
"VIRGINIA ST RES AUTH INFRASTRU","State Tax-Backed","Fixed Income","426,555.57","0.12","426,555.57","390,000.00","92818L2L5","US92818L2L54","-","108.54","United States","-","USD","1.77","0.32","1.00","Nov 01, 2023","5.00","1.76","-","0.32","1.76","0.32","USD","May 25, 2016","May 25, 2016"
"SPOKANE WASH WTR & WASTEWATER","Utility","Fixed Income","426,367.41","0.12","426,367.41","390,000.00","849103AJ5","US849103AJ54","-","108.91","United States","-","USD","1.85","0.33","1.00","Dec 01, 2023","5.00","1.85","-","0.33","1.85","0.33","USD","Dec 02, 2014","Dec 02, 2014"
"RHODE ISLAND ST & PROVIDENCE P","State Tax-Backed","Fixed Income","422,259.48","0.12","422,259.48","400,000.00","76222RSP8","US76222RSP81","-","104.31","United States","-","USD","1.54","0.27","1.00","Aug 01, 2023","3.00","1.54","-","0.27","1.54","0.27","USD","Jul 29, 2015","Jul 29, 2015"
"HAWAII ST","State Tax-Backed","Fixed Income","421,265.58","0.12","421,265.58","385,000.00","419792CB0","US419792CB09","-","108.17","United States","-","USD","1.68","0.31","1.00","Oct 01, 2023","5.00","1.68","-","0.31","1.68","0.31","USD","Oct 29, 2015","Oct 29, 2015"
"HENNEPIN CNTY MINN","Local Tax-Backed","Fixed Income","421,133.32","0.12","421,133.32","385,000.00","425507HY9","US425507HY91","-","108.97","United States","-","USD","1.85","0.30","1.00","Dec 01, 2023","5.00","1.85","-","0.30","1.85","0.30","USD","Sep 11, 2019","Sep 11, 2019"
"BLACKROCK LIQ MUNICASH CL INS MMF","Cash and/or Derivatives","Money Market","420,625.28","0.12","420,625.28","420,583.00","09248U841","US09248U8412","B0BW5H6","1.00","United States","-","USD","0.04","0.13","1.00","-","0.10","0.04","-","0.13","0.04","0.13","USD","-","Feb 23, 1984"
"NEW MEXICO ST SEVERANCE TAX","State Tax-Backed","Fixed Income","419,363.41","0.12","419,363.41","390,000.00","647310X55","US647310X555","-","105.53","United States","-","USD","1.45","0.30","1.00","Jul 01, 2023","4.00","1.44","-","0.30","1.44","0.30","USD","Jun 23, 2016","Jun 23, 2016"
"NEW JERSEY ST","State Tax-Backed","Fixed Income","416,135.91","0.12","416,135.91","395,000.00","646039YG6","US646039YG66","-","105.02","United States","-","USD","1.39","0.44","1.00","Jun 01, 2023","4.00","1.39","-","0.44","1.39","0.44","USD","Nov 24, 2020","Nov 24, 2020"
"OREGON ST DEPT TRANSN HWY USER","State Tax-Backed","Fixed Income","415,605.54","0.12","415,605.54","380,000.00","68607DRY3","US68607DRY30","-","108.73","United States","-","USD","1.80","0.32","1.00","Nov 15, 2023","5.00","1.80","-","0.32","1.80","0.32","USD","Jul 09, 2014","Jul 09, 2014"
"ILLINOIS ST","State Tax-Backed","Fixed Income","414,911.60","0.12","414,911.60","380,000.00","452152ML2","US452152ML26","-","107.10","United States","-","USD","1.51","0.49","1.00","Aug 01, 2023","5.00","1.51","-","0.49","1.51","0.49","USD","May 08, 2012","May 08, 2012"
"NORTH TEX TWY AUTH REV","Transportation","Fixed Income","412,838.81","0.12","412,838.81","385,000.00","66285WSB3","US66285WSB36","-","104.73","United States","-","USD","0.97","0.26","1.00","Jan 01, 2023","5.00","0.97","-","0.26","0.97","0.26","USD","Jun 01, 2016","Jun 01, 2016"
"ARLINGTON TEX INDPT SCH DIST","School Districts","Fixed Income","412,790.80","0.12","412,790.80","385,000.00","041826Y44","US041826Y444","-","105.33","United States","-","USD","1.09","0.24","1.00","Feb 15, 2023","5.00","1.09","-","0.24","1.09","0.24","USD","Jul 26, 2016","Jul 01, 2016"
"NEW YORK N Y CITY MUN WTR FIN","Prerefund/Escrow","Fixed Income","412,415.86","0.12","412,415.86","385,000.00","64972GDU5","US64972GDU58","-","106.90","United States","-","USD","1.42","0.25","1.00","Jun 15, 2023","5.00","1.42","-","0.25","1.42","0.25","USD","Apr 03, 2014","Apr 03, 2014"
"WASHINGTON ST","State Tax-Backed","Fixed Income","410,979.19","0.12","410,979.19","375,000.00","93974C8B9","US93974C8B91","-","107.09","United States","-","USD","1.43","0.26","1.00","Jul 01, 2023","5.00","1.43","-","0.26","1.43","0.26","USD","Feb 05, 2013","Feb 05, 2013"
"LOS ANGELES CALIF CMNTY COLLEG","School Districts","Fixed Income","410,898.20","0.12","410,898.20","375,000.00","54438CUR1","US54438CUR14","-","107.49","United States","-","USD","1.51","0.26","1.00","Aug 01, 2023","5.00","1.51","-","0.26","1.51","0.26","USD","Jun 03, 2015","Jun 03, 2015"
"PHOENIX ARIZ CIVIC IMPT CORP A","Transportation","Fixed Income","410,803.88","0.12","410,803.88","375,000.00","71883MMG6","US71883MMG68","-","107.05","United States","-","USD","1.43","0.29","1.00","Jul 01, 2023","5.00","1.43","-","0.29","1.43","0.29","USD","Dec 21, 2017","Dec 21, 2017"
"UNIVERSITY TEX UNIV REVS","Education","Fixed Income","410,766.07","0.12","410,766.07","375,000.00","91514ADM4","US91514ADM45","-","107.65","United States","-","USD","1.55","0.27","1.00","Aug 15, 2023","5.00","1.55","-","0.27","1.55","0.27","USD","May 10, 2016","May 01, 2016"
"UNIVERSITY TEX UNIV REVS","Education","Fixed Income","410,766.07","0.12","410,766.07","375,000.00","91514AGD1","US91514AGD19","-","107.65","United States","-","USD","1.55","0.27","1.00","Aug 15, 2023","5.00","1.55","-","0.27","1.55","0.27","USD","Nov 30, 2016","Nov 15, 2016"
"NEW YORK N Y","Local Tax-Backed","Fixed Income","410,712.65","0.12","410,712.65","375,000.00","64966LS77","US64966LS772","-","107.44","United States","-","USD","1.51","0.29","1.00","Aug 01, 2023","5.00","1.51","-","0.29","1.51","0.29","USD","Jun 18, 2015","Jun 18, 2015"
"RHODE IS INFRASTRUCTURE BK WTR","Utility","Fixed Income","410,529.41","0.12","410,529.41","375,000.00","76221UAH9","US76221UAH95","-","108.22","United States","-","USD","1.68","0.28","1.00","Oct 01, 2023","5.00","1.68","-","0.28","1.68","0.28","USD","Oct 06, 2015","Oct 06, 2015"
"CALIFORNIA ST FOR PREVIOUS ISS","State Tax-Backed","Fixed Income","410,460.79","0.12","410,460.79","375,000.00","13063CLV0","US13063CLV09","-","108.21","United States","-","USD","1.68","0.30","1.00","Oct 01, 2023","5.00","1.68","-","0.30","1.68","0.30","USD","Oct 07, 2014","Oct 07, 2014"
"AUSTIN TEX WTR & WASTEWATER SY","Utility","Fixed Income","410,210.62","0.12","410,210.62","375,000.00","052476Q35","US052476Q358","-","108.75","United States","-","USD","1.80","0.31","1.00","Nov 15, 2023","5.00","1.80","-","0.31","1.80","0.31","USD","Aug 18, 2015","Aug 18, 2015"
"OREGON ST DEPT ADMINISTRATIVE","State Tax-Backed","Fixed Income","407,346.70","0.12","407,346.70","380,000.00","68607VC45","US68607VC458","-","105.95","United States","-","USD","1.22","0.23","1.00","Apr 01, 2023","5.00","1.21","-","0.23","1.21","0.23","USD","Apr 16, 2013","Apr 16, 2013"
"MASSACHUSETTS BAY TRANSN AUTH MASS","State Tax-Backed","Fixed Income","407,222.96","0.12","407,222.96","370,000.00","575579ML8","US575579ML86","-","107.44","United States","-","USD","1.43","0.28","1.00","Jul 01, 2023","5.25","1.43","-","0.28","1.43","0.28","USD","Dec 05, 2006","Dec 05, 2006"
"NEVADA ST","State Tax-Backed","Fixed Income","407,150.24","0.12","407,150.24","380,000.00","641461S41","US641461S412","-","105.89","United States","-","USD","1.22","0.27","1.00","Apr 01, 2023","5.00","1.21","-","0.27","1.21","0.27","USD","Nov 04, 2015","Nov 04, 2015"
"NEW YORK N Y CITY TRANSITIONAL","State Tax-Backed","Fixed Income","405,433.59","0.12","405,433.59","370,000.00","64972HA85","US64972HA859","-","107.27","United States","-","USD","1.47","0.26","1.00","Jul 15, 2023","5.00","1.47","-","0.26","1.47","0.26","USD","Jul 20, 2017","Jul 20, 2017"
"METROPOLITAN GOVT NASHVILLE &","Local Tax-Backed","Fixed Income","405,211.23","0.12","405,211.23","370,000.00","592112SF4","US592112SF46","-","107.02","United States","-","USD","1.43","0.31","1.00","Jul 01, 2023","5.00","1.43","-","0.31","1.43","0.31","USD","Feb 02, 2017","Feb 02, 2017"
"MILWAUKEE WIS MET SEW DIST","Local Tax-Backed","Fixed Income","404,784.96","0.12","404,784.96","370,000.00","602409KE3","US602409KE36","-","108.15","United States","-","USD","1.68","0.32","1.00","Oct 01, 2023","5.00","1.68","-","0.32","1.68","0.32","USD","Jun 12, 2017","Jun 12, 2017"
"ALPINE UTAH SCH DIST","School Districts","Fixed Income","402,094.36","0.12","402,094.36","375,000.00","021087VA6","US021087VA62","-","105.75","United States","-","USD","1.17","0.22","1.00","Mar 15, 2023","5.00","1.17","-","0.22","1.17","0.22","USD","Apr 28, 2015","Apr 28, 2015"
"VIRGINIA COMWLTH TRANSN BRD TR","State Tax-Backed","Fixed Income","401,859.86","0.12","401,859.86","375,000.00","927793XP9","US927793XP90","-","106.52","United States","-","USD","1.33","0.23","1.00","May 15, 2023","5.00","1.34","-","0.23","1.34","0.23","USD","Dec 03, 2014","Dec 03, 2014"
"MASSACHUSETTS ST TRANSN FD REV","State Tax-Backed","Fixed Income","401,628.33","0.12","401,628.33","375,000.00","57604TEH5","US57604TEH59","-","106.68","United States","-","USD","1.38","0.27","1.00","Jun 01, 2023","5.00","1.38","-","0.27","1.38","0.27","USD","Oct 06, 2016","Oct 06, 2016"
"ARIZONA SCH FACS BRD CTFS PART","Prerefund/Escrow","Fixed Income","399,468.14","0.12","399,468.14","365,000.00","04057PJW9","US04057PJW95","-","107.78","United States","-","USD","1.60","0.32","1.00","Sep 01, 2023","5.00","1.60","-","0.32","1.60","0.32","USD","Jul 30, 2015","Jul 30, 2015"
"HARRIS CNTY TEX MET TRAN AUTH","Local Tax-Backed","Fixed Income","399,142.22","0.11","399,142.22","365,000.00","41422EEN9","US41422EEN94","-","108.52","United States","-","USD","1.76","0.33","1.00","Nov 01, 2023","5.00","1.76","-","0.33","1.76","0.33","USD","Apr 22, 2014","Apr 22, 2014"
"METROPOLITAN TRANSN AUTH N Y R","Transportation","Fixed Income","397,740.50","0.11","397,740.50","365,000.00","59261APM3","US59261APM35","-","108.33","United States","-","USD","1.80","0.52","1.00","Nov 15, 2023","5.00","1.80","-","0.52","1.80","0.52","USD","Dec 14, 2017","Dec 14, 2017"
"KATY TEX INDPT SCH DIST","School Districts","Fixed Income","396,665.27","0.11","396,665.27","370,000.00","486063QL7","US486063QL77","-","105.32","United States","-","USD","1.09","0.25","1.00","Feb 15, 2023","5.00","1.09","-","0.25","1.09","0.25","USD","Dec 18, 2014","Dec 18, 2014"
"OHIO ST","State Tax-Backed","Fixed Income","396,405.69","0.11","396,405.69","370,000.00","677522PZ1","US677522PZ14","-","106.30","United States","-","USD","1.30","0.26","1.00","May 01, 2023","5.00","1.30","-","0.26","1.30","0.26","USD","Apr 25, 2017","Apr 25, 2017"
"CONNECTICUT ST FOR PREVIOUS","State Tax-Backed","Fixed Income","396,274.57","0.11","396,274.57","370,000.00","20772J6E7","US20772J6E75","-","106.05","United States","-","USD","1.26","0.30","1.00","Apr 15, 2023","5.00","1.25","-","0.30","1.25","0.30","USD","Apr 19, 2017","Apr 19, 2017"
"MEMPHIS TENN","Local Tax-Backed","Fixed Income","396,252.44","0.11","396,252.44","370,000.00","586145V27","US586145V271","-","106.26","United States","-","USD","1.30","0.29","1.00","May 01, 2023","5.00","1.30","-","0.29","1.30","0.29","USD","Apr 29, 2020","Apr 29, 2020"
"HONOLULU HAWAII CITY & CNTY","Local Tax-Backed","Fixed Income","394,071.07","0.11","394,071.07","360,000.00","438687BF1","US438687BF12","-","107.80","United States","-","USD","1.60","0.31","1.00","Sep 01, 2023","5.00","1.60","-","0.31","1.60","0.31","USD","Sep 14, 2017","Sep 14, 2017"
"DISTRICT COLUMBIA INCOME TAX R","Local Tax-Backed","Fixed Income","393,787.00","0.11","393,787.00","360,000.00","25477GNJ0","US25477GNJ03","-","108.97","United States","-","USD","1.85","0.30","1.00","Dec 01, 2023","5.00","1.85","-","0.30","1.85","0.30","USD","Sep 10, 2014","Sep 10, 2014"
"SALT RIV PROJ AGRIC IMPT & PWR","Utility","Fixed Income","391,430.05","0.11","391,430.05","365,000.00","79574CCG6","US79574CCG69","-","104.74","United States","-","USD","0.97","0.25","1.00","Jan 01, 2023","5.00","0.97","-","0.25","0.97","0.25","USD","Nov 21, 2017","Nov 21, 2017"
"NEW YORK N Y CITY TRANSITIONAL","Prerefund/Escrow","Fixed Income","389,025.28","0.11","389,025.28","355,000.00","64972HYF3","US64972HYF36","-","107.28","United States","-","USD","1.47","0.26","1.00","Jul 15, 2023","5.00","1.47","-","0.26","1.47","0.26","USD","Mar 17, 2016","Mar 17, 2016"
"PORT AUTH N Y & N J","Transportation","Fixed Income","388,940.29","0.11","388,940.29","355,000.00","73358WU51","US73358WU519","-","107.26","United States","-","USD","1.47","0.27","1.00","Jul 15, 2023","5.00","1.47","-","0.27","1.47","0.27","USD","May 04, 2018","May 04, 2018"
"NEW YORK N Y","Local Tax-Backed","Fixed Income","388,807.98","0.11","388,807.98","355,000.00","64966LZU8","US64966LZU87","-","107.44","United States","-","USD","1.51","0.29","1.00","Aug 01, 2023","5.00","1.51","-","0.29","1.51","0.29","USD","Mar 31, 2015","Mar 31, 2015"
"WISCONSIN ST FOR ISSUES DTD PR","State Tax-Backed","Fixed Income","385,791.46","0.11","385,791.46","360,000.00","97705MFC4","US97705MFC47","-","106.33","United States","-","USD","1.30","0.24","1.00","May 01, 2023","5.00","1.30","-","0.24","1.30","0.24","USD","Oct 25, 2016","Oct 25, 2016"
"MASSACHUSETTS (COMMONWEALTH OF)","Transportation","Fixed Income","385,662.21","0.11","385,662.21","360,000.00","57583PGN3","US57583PGN33","-","106.91","United States","-","USD","1.42","0.24","1.00","Jun 15, 2023","5.00","1.42","-","0.24","1.42","0.24","USD","Dec 10, 2014","Dec 10, 2014"
"SAN DIEGO CALIF UNI SCH DIST","School Districts","Fixed Income","383,580.58","0.11","383,580.58","350,000.00","7973552L7","US7973552L71","-","107.09","United States","-","USD","1.43","0.26","1.00","Jul 01, 2023","5.00","1.43","-","0.26","1.43","0.26","USD","Jun 29, 2015","Jun 29, 2015"
"FLORIDA ST TPK AUTH TPK REV","Transportation","Fixed Income","383,580.58","0.11","383,580.58","350,000.00","3431368A8","US3431368A89","-","107.09","United States","-","USD","1.43","0.26","1.00","Jul 01, 2023","5.00","1.43","-","0.26","1.43","0.26","USD","Feb 23, 2016","Feb 23, 2016"
"FLORIDA ST TPK AUTH TPK REV","Transportation","Fixed Income","383,580.58","0.11","383,580.58","350,000.00","343137DB8","US343137DB87","-","107.09","United States","-","USD","1.43","0.26","1.00","Jul 01, 2023","5.00","1.43","-","0.26","1.43","0.26","USD","Dec 20, 2018","Dec 20, 2018"
"UNIVERSITY UTAH UNIV REVS","Education","Fixed Income","383,216.45","0.11","383,216.45","350,000.00","915183YG6","US915183YG69","-","107.41","United States","-","USD","1.51","0.31","1.00","Aug 01, 2023","5.00","1.51","-","0.31","1.51","0.31","USD","Sep 13, 2017","Sep 13, 2017"
"TRIBOROUGH BRDG & TUNL AUTH N","Transportation","Fixed Income","382,725.94","0.11","382,725.94","350,000.00","89602N5A8","US89602N5A87","-","108.71","United States","-","USD","1.80","0.33","1.00","Nov 15, 2023","5.00","1.80","-","0.33","1.80","0.33","USD","Jan 28, 2016","Jan 28, 2016"
"PORT AUTH N Y & N J","Transportation","Fixed Income","382,637.42","0.11","382,637.42","350,000.00","73358WQM9","US73358WQM90","-","108.91","United States","-","USD","1.85","0.33","1.00","Dec 01, 2023","5.00","1.85","-","0.33","1.85","0.33","USD","Nov 27, 2013","Nov 27, 2013"
"GEORGIA ST","State Tax-Backed","Fixed Income","380,875.57","0.11","380,875.57","355,000.00","373384F35","US373384F359","-","105.21","United States","-","USD","1.05","0.19","1.00","Feb 01, 2023","5.00","1.05","-","0.19","1.05","0.19","USD","Jul 18, 2013","Jul 18, 2013"
"HOUSTON TEX UTIL SYS REV","Utility","Fixed Income","380,174.82","0.11","380,174.82","355,000.00","4424354M2","US4424354M28","-","106.45","United States","-","USD","1.33","0.28","1.00","May 15, 2023","5.00","1.34","-","0.28","1.34","0.28","USD","Apr 15, 2014","Apr 01, 2014"
"LOWER COLORADO RIVER TX AUTH REVEN","Utility","Fixed Income","380,174.82","0.11","380,174.82","355,000.00","54811GZP8","US54811GZP89","-","106.45","United States","-","USD","1.33","0.28","1.00","May 15, 2023","5.00","1.34","-","0.28","1.34","0.28","USD","Apr 07, 2015","Mar 15, 2015"
"WASHINGTON ST","State Tax-Backed","Fixed Income","375,394.05","0.11","375,394.05","350,000.00","93974DUU0","US93974DUU08","-","105.17","United States","-","USD","1.05","0.22","1.00","Feb 01, 2023","5.00","1.05","-","0.22","1.05","0.22","USD","Feb 16, 2016","Feb 16, 2016"
"HOUSTON TEX INDPT SCH DIST","School Districts","Fixed Income","375,345.32","0.11","375,345.32","350,000.00","442403LW9","US442403LW97","-","105.35","United States","-","USD","1.09","0.22","1.00","Feb 15, 2023","5.00","1.09","-","0.22","1.09","0.22","USD","May 23, 2017","May 23, 2017"
"SEATTLE WASH MUN LT & PWR REV","Utility","Fixed Income","375,187.75","0.11","375,187.75","350,000.00","812643MT8","US812643MT87","-","105.95","United States","-","USD","1.22","0.23","1.00","Apr 01, 2023","5.00","1.21","-","0.23","1.21","0.23","USD","Jan 28, 2016","Jan 28, 2016"
"PENNSYLVANIA ST","Prerefund/Escrow","Fixed Income","375,142.49","0.11","375,142.49","350,000.00","70914PTU6","US70914PTU65","-","105.93","United States","-","USD","1.22","0.24","1.00","Apr 01, 2023","5.00","1.21","-","0.24","1.21","0.24","USD","Apr 11, 2013","Apr 11, 2013"
"DISTRICT COLUMBIA","State Tax-Backed","Fixed Income","374,955.97","0.11","374,955.97","350,000.00","25476FWM6","US25476FWM66","-","106.71","United States","-","USD","1.38","0.25","1.00","Jun 01, 2023","5.00","1.38","-","0.25","1.38","0.25","USD","Aug 01, 2018","Aug 01, 2018"
"NORTH CAROLINA ST","State Tax-Backed","Fixed Income","374,853.10","0.11","374,853.10","350,000.00","658256Z21","US658256Z213","-","106.68","United States","-","USD","1.38","0.27","1.00","Jun 01, 2023","5.00","1.38","-","0.27","1.38","0.27","USD","Mar 09, 2016","Mar 09, 2016"
"NEW JERSEY ST","State Tax-Backed","Fixed Income","373,928.75","0.11","373,928.75","350,000.00","646039WA1","US646039WA15","-","106.42","United States","-","USD","1.38","0.45","1.00","Jun 01, 2023","5.00","1.38","-","0.45","1.38","0.45","USD","Mar 31, 2016","Mar 31, 2016"
"METROPOLITAN GOVT NASHVILLE &","Local Tax-Backed","Fixed Income","372,356.27","0.11","372,356.27","340,000.00","592112NL6","US592112NL68","-","107.02","United States","-","USD","1.43","0.31","1.00","Jul 01, 2023","5.00","1.43","-","0.31","1.43","0.31","USD","Feb 19, 2015","Feb 19, 2015"
"PENNSYLVANIA ST","State Tax-Backed","Fixed Income","371,924.65","0.11","371,924.65","340,000.00","70914PD74","US70914PD744","-","107.92","United States","-","USD","1.64","0.34","1.00","Sep 15, 2023","5.00","1.63","-","0.34","1.63","0.34","USD","Aug 19, 2016","Aug 19, 2016"
