iShares® iBonds® 2024 Term High Yield and Income ETF
Fund Holdings as of,"Dec 31, 2021"
Inception Date,"May 07, 2019"
Shares Outstanding,"2,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Par Value,CUSIP,ISIN,SEDOL,Price,Location,Exchange,Currency,Duration,YTM (%),FX Rate,Maturity,Coupon (%),Mod. Duration,Yield to Call (%),Yield to Worst (%),Real Duration,Real YTM (%),Market Currency,Accrual Date,Effective Date
"SPRINT CORP","Corporates","Fixed Income","1,802,330.67","3.21","1,802,330.67","1,600,000.00","85207UAH8","US85207UAH86","BSHYYV9","112.33","United States","-","USD","2.30","1.96","1.00","Jun 15, 2024","7.13","2.28","-","1.96","2.28","1.96","USD","Jun 15, 2014","Nov 14, 2014"
"INTESA SANPAOLO SPA 144A","Corporates","Fixed Income","1,521,083.20","2.71","1,521,083.20","1,425,000.00","46115HAT4","US46115HAT41","BNH5752","106.67","Italy","-","USD","2.36","2.24","1.00","Jun 26, 2024","5.02","2.34","-","2.24","2.34","2.24","USD","Jun 26, 2014","Jun 26, 2014"
"DISH DBS CORP","Corporates","Fixed Income","1,496,242.00","2.66","1,496,242.00","1,440,000.00","25470XAW5","US25470XAW56","BVRZ8M2","103.16","United States","-","USD","2.66","4.69","1.00","Nov 15, 2024","5.88","2.61","-","4.69","2.61","4.69","USD","Nov 20, 2014","Jan 29, 2015"
"GLOBAL AIRCRAFT LEASING CO LTD 144A","Corporates","Fixed Income","1,366,867.24","2.43","1,366,867.24","1,387,868.00","37960JAA6","US37960JAA60","BKDRG65","96.59","Cayman Islands","-","USD","2.45","7.92","1.00","Sep 15, 2024","6.50","2.38","-","7.92","2.38","7.92","USD","Jul 31, 2019","Jul 31, 2019"
"TELECOM ITALIA SPA 144A","Corporates","Fixed Income","1,164,262.08","2.07","1,164,262.08","1,102,000.00","87927YAA0","US87927YAA01","BMV1726","105.21","Italy","-","USD","2.28","3.05","1.00","May 30, 2024","5.30","2.26","-","3.05","2.26","3.05","USD","May 30, 2014","May 30, 2014"
"SPRINGLEAF FINANCE CORP","Corporates","Fixed Income","1,067,660.27","1.90","1,067,660.27","990,000.00","85172FAP4","US85172FAP45","BJJDP63","106.04","United States","-","USD","1.62","3.26","1.00","Mar 15, 2024","6.13","2.03","-","2.48","1.60","2.48","USD","Feb 22, 2019","Feb 22, 2019"
"BWAY HOLDING CO 144A","Corporates","Fixed Income","1,066,444.46","1.90","1,066,444.46","1,045,000.00","12429TAD6","US12429TAD63","BYYQMZ0","100.89","United States","-","USD","0.29","5.08","1.00","Apr 15, 2024","5.50","2.11","-","2.37","0.29","2.37","USD","Apr 03, 2017","Apr 03, 2017"
"OCCIDENTAL PETROLEUM CORPORATION","Corporates","Fixed Income","1,063,398.32","1.89","1,063,398.32","1,030,000.00","674599CW3","US674599CW33","BKKGQD2","102.15","United States","-","USD","2.43","2.05","1.00","Aug 15, 2024","2.90","2.49","-","2.00","2.34","2.00","USD","Aug 08, 2019","Aug 08, 2019"
"GOLDEN NUGGET INC 144A","Corporates","Fixed Income","994,151.20","1.77","994,151.20","980,000.00","38113YAE9","US38113YAE95","BYWL570","100.02","United States","-","USD","0.70","6.74","1.00","Oct 15, 2024","6.75","2.47","-","6.21","0.08","6.21","USD","Oct 04, 2016","Oct 04, 2016"
"HOWMET AEROSPACE INC","Corporates","Fixed Income","972,807.83","1.73","972,807.83","890,000.00","013817AW1","US013817AW16","BQWJT65","108.02","United States","-","USD","2.36","2.11","1.00","Oct 01, 2024","5.13","2.55","-","1.83","2.33","1.83","USD","Sep 22, 2014","Sep 22, 2014"
